Localização,Inventário,Denominação do Imobilizado,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,970375,TELA ELÉTRICA P/PROJEÇÃO 120P /PROJETELAS,TELA DE PROJEÇAO MOTORIZADA,39.5%,2011-01-12 00:00:00,MANTER: Baixa similaridade (39.5%) com consumível 'TELA DE PROJEÇAO MOTORIZADA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1215290,CARRO FERRAMENTAS 7 GAV SIST.TILT /BETA,PORTA METÁLICA E P/CARRO DE FERRAMENTAS,30.7%,2019-03-18 00:00:00,MANTER: Baixa similaridade (30.7%) com consumível 'PORTA METÁLICA E P/CARRO DE FERRAMENTAS...'. Provavelmente corretamente classificado.
1.01 BRÁS,1280065,CATRACA INTERNA C/PEDESTAL,CATRACA BLINDADA,36.1%,2023-09-26 00:00:00,MANTER: Baixa similaridade (36.1%) com consumível 'CATRACA BLINDADA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1280066,CATRACA INTERNA C/PEDESTAL,CATRACA BLINDADA,36.1%,2023-09-26 00:00:00,MANTER: Baixa similaridade (36.1%) com consumível 'CATRACA BLINDADA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1280067,CATRACA INTERNA C/PEDESTAL,CATRACA BLINDADA,36.1%,2023-09-26 00:00:00,MANTER: Baixa similaridade (36.1%) com consumível 'CATRACA BLINDADA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1280068,CATRACA INTERNA C/PEDESTAL,CATRACA BLINDADA,36.1%,2023-09-26 00:00:00,MANTER: Baixa similaridade (36.1%) com consumível 'CATRACA BLINDADA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1280069,CATRACA INTERNA C/PEDESTAL,CATRACA BLINDADA,36.1%,2023-09-26 00:00:00,MANTER: Baixa similaridade (36.1%) com consumível 'CATRACA BLINDADA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1007931,QUADRO BRANCO MAGNÉT.MÓVEL 2000X1000MM,QUADRO BRANCO 80X60cm,41.6%,2011-10-17 00:00:00,AVALIAR: Similaridade moderada (41.6%) com consumível 'QUADRO BRANCO 80X60cm...'. Possível reclassificação.
1.01 BRÁS,1171830,"ESCADA EXTENSÍVEL EM FIBRA 4,80X8,40M/ W BERTOLO",ESCADA EXTENSÍVEL DE FIBRA C/(PATRIMÔNIO,50.9%,2016-09-13 00:00:00,AVALIAR: Similaridade moderada (50.9%) com consumível 'ESCADA EXTENSÍVEL DE FIBRA C/(PATRIMÔNIO...'. Possível reclassificação.
1.01 BRÁS,1171831,ESCADA EM FIBRA 12D - DUPLO ACESSO/ W BERTOLO,ESCADA DE FIBRA 5D - DUPLO,55.0%,2016-09-13 00:00:00,AVALIAR: Similaridade moderada (55.0%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Possível reclassificação.
1.01 BRÁS,1181198,ANDAIME INDUSTRIAL DE 12 METROS / FERRARI,ROLAMENTO INDUSTRIAL DE ESFERA,32.5%,2017-03-06 00:00:00,MANTER: Baixa similaridade (32.5%) com consumível 'ROLAMENTO INDUSTRIAL DE ESFERA...'. Provavelmente corretamente classificado.
1.01 BRÁS,954845,ESCADA DUPLA C/PLATAF.07 DEGR./W.BERTOLO,ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,38.1%,2010-08-24 00:00:00,MANTER: Baixa similaridade (38.1%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
1.01 BRÁS,954847,ESCADA DUPLA C/PLATAF.07 DEGR./W.BERTOLO,ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,38.1%,2010-08-24 00:00:00,MANTER: Baixa similaridade (38.1%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
1.01 BRÁS,954848,ESCADA DUPLA C/PLATAF.07 DEGR./W.BERTOLO,ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,38.1%,2010-08-24 00:00:00,MANTER: Baixa similaridade (38.1%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
1.01 BRÁS,954849,ESCADA DUPLA C/PLATAF.07 DEGR./W.BERTOLO,ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,38.1%,2010-08-24 00:00:00,MANTER: Baixa similaridade (38.1%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
1.01 BRÁS,1117678,ESCADA EM FIBRA 7D - DUPLO ACESSO/W.BERTOLO,ESCADA DE FIBRA 5D - DUPLO,62.3%,2014-08-13 00:00:00,RECLASSIFICAR: Alta similaridade (62.3%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1135978,ESCADA EM FIBRA 5D - DUPLO ACESSO/W.BERTOLO,ESCADA DE FIBRA 5D - DUPLO,63.2%,2015-01-29 00:00:00,RECLASSIFICAR: Alta similaridade (63.2%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1364412,ESCADA DE FIBRA 10 DEGRAUS DUPLO ACESSO,ESCADA DE FIBRA 5D - DUPLO,63.9%,2025-08-20 00:00:00,RECLASSIFICAR: Alta similaridade (63.9%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1364413,ESCADA DE FIBRA 10 DEGRAUS DUPLO ACESSO,ESCADA DE FIBRA 5D - DUPLO,63.9%,2025-08-20 00:00:00,RECLASSIFICAR: Alta similaridade (63.9%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1364414,ESCADA DE FIBRA 10 DEGRAUS DUPLO ACESSO,ESCADA DE FIBRA 5D - DUPLO,63.9%,2025-08-20 00:00:00,RECLASSIFICAR: Alta similaridade (63.9%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1364415,ESCADA DE FIBRA 10 DEGRAUS DUPLO ACESSO,ESCADA DE FIBRA 5D - DUPLO,63.9%,2025-08-20 00:00:00,RECLASSIFICAR: Alta similaridade (63.9%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1364416,ESCADA DE FIBRA 10 DEGRAUS DUPLO ACESSO,ESCADA DE FIBRA 5D - DUPLO,63.9%,2025-08-20 00:00:00,RECLASSIFICAR: Alta similaridade (63.9%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1364417,ESCADA DE FIBRA 10 DEGRAUS DUPLO ACESSO,ESCADA DE FIBRA 5D - DUPLO,63.9%,2025-08-20 00:00:00,RECLASSIFICAR: Alta similaridade (63.9%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1364418,ESCADA DE FIBRA 10 DEGRAUS DUPLO ACESSO,ESCADA DE FIBRA 5D - DUPLO,63.9%,2025-08-20 00:00:00,RECLASSIFICAR: Alta similaridade (63.9%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1364419,ESCADA DE FIBRA 10 DEGRAUS DUPLO ACESSO,ESCADA DE FIBRA 5D - DUPLO,63.9%,2025-08-20 00:00:00,RECLASSIFICAR: Alta similaridade (63.9%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
1.01 BRÁS,1300156,MANEQUIM TORSO P/ TREINAMENTO DE RCP,BOLSA P/TRANSPORTE DE MANEQUIM RCP,33.8%,2024-03-25 00:00:00,MANTER: Baixa similaridade (33.8%) com consumível 'BOLSA P/TRANSPORTE DE MANEQUIM RCP...'. Provavelmente corretamente classificado.
